"","county","Category","Sales_Dollars","Sales_Volume","High School","Bachelor","Unemployment","Income","Population","White Population","Black Population","Indian Population","Asain Population","Hawaiian Population","Other Population","Multi Population"
"221","Clinton","Vodka",755073,70954,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"222","Clinton","Brandy",154560,8056,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"223","Clinton","Whisky",938334,58739,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"224","Clinton","Tequila",232579,14901,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"225","Clinton","Distilled Spirits",14747,947,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"226","Clinton","Gin",73020,6678,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"227","Clinton","Misc",325744,21467,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"228","Clinton","Schnapps",262643,18827,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"229","Clinton","Amaretto",18127,2096,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"230","Clinton","Rum",504582,37396,91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047
"231","Crawford","Brandy",30894,1968,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"232","Crawford","Whisky",511187,36844,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"233","Crawford","Schnapps",70670,5334,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"234","Crawford","Vodka",193570,18613,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"235","Crawford","Tequila",76357,3865,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"236","Crawford","Rum",210218,14900,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"237","Crawford","Distilled Spirits",11072,1272,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"238","Crawford","Misc",92697,5367,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"239","Crawford","Amaretto",5271,548,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"240","Crawford","Gin",18770,1631,78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291
"241","Dallas","Rum",290915,20386,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"242","Dallas","Whisky",837213,49908,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"243","Dallas","Gin",53943,3787,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"244","Dallas","Misc",185121,11263,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"245","Dallas","Distilled Spirits",13625,603,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"246","Dallas","Vodka",582588,49915,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"247","Dallas","Brandy",34463,2446,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"248","Dallas","Schnapps",45283,3445,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"249","Dallas","Amaretto",5809,448,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"250","Dallas","Tequila",134630,9037,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841
"251","Davis","Misc",5413,439,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"252","Davis","Vodka",24550,2947,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"253","Davis","Tequila",2479,202,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"254","Davis","Gin",1335,147,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"255","Davis","Rum",12770,900,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"256","Davis","Brandy",2610,260,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"257","Davis","Amaretto",311,36,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
"258","Davis","Schnapps",5075,427,86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123
